name|category|displayName|description|url
01.2.15.C.01.|01. About information security|Applicability, Authority and Compliance - Compliance|In complying with the latest version of this manual agencies awareness of the current threat environment for government systems and the associated acceptable level of security risk is vital. Furthermore, if a system is designed to an out-dated standard, agencies may need additional effort to obtain accreditation for their systems.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12111
01.2.15.C.02.|01. About information security|Applicability, Authority and Compliance - Compliance|In complying with the latest version of this manual agencies awareness of the current threat environment for government systems and the associated acceptable level of security risk is vital. Furthermore, if a system is designed to an out-dated standard, agencies may need additional effort to obtain accreditation for their systems.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12111
02.1.1.|02. Information Security Services within Government|Government Engagement|Agency security personnel and senior management are aware of and utilise information security services offered by the New Zealand Government.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12118
02.1.49.C.01.|02. Information Security Services within Government|Government Engagement - Organisations providing information security services|If security personnel and senior management are not aware of the role government organisations play with regards to information security they could be missing out on valuable insight and assistance in developing an effective information security posture for their agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12134
02.2.1.|02. Information Security Services within Government|Non-Government Engagement and Outsourcing|Non-government organisations handling classified information implement the same information security and protective measures as government agencies.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12138
02.2.5.C.01.|02. Information Security Services within Government|Non-Government Engagement and Outsourcing - Outsourcing information technology services and functions|In the context of this section, outsourcing is defined as contracting an outside entity to provide essential business functions and processes that could be undertaken by the Agency itself.Outsourcing may present elevated levels of risk and additional risks. Outsourcing therefore, requires greater consideration, demonstrable governance, and higher levels of assurance before committing to such contracts.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12148
02.2.5.C.02.|02. Information Security Services within Government|Non-Government Engagement and Outsourcing - Outsourcing information technology services and functions|In the context of this section, outsourcing is defined as contracting an outside entity to provide essential business functions and processes that could be undertaken by the Agency itself.Outsourcing may present elevated levels of risk and additional risks. Outsourcing therefore, requires greater consideration, demonstrable governance, and higher levels of assurance before committing to such contracts.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12148
02.2.6.C.01.|02. Information Security Services within Government|Non-Government Engagement and Outsourcing - Independence of ITSMs from outsourced companies|If an agency engages an organisation for the provision of information technology services and functions, and where that organisation also provides the services of an Information Technology Security Manager, they need to ensure that there is no actual or perceived conflict of interest (See also Section 3.3 - Information Technology Security Manager).|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12148
02.2.6.C.02.|02. Information Security Services within Government|Non-Government Engagement and Outsourcing - Independence of ITSMs from outsourced companies|If an agency engages an organisation for the provision of information technology services and functions, and where that organisation also provides the services of an Information Technology Security Manager, they need to ensure that there is no actual or perceived conflict of interest (See also Section 3.3 - Information Technology Security Manager).|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12148
02.2.7.C.01.|02. Information Security Services within Government|Non-Government Engagement and Outsourcing - Developing a contractor management program|The development of a contractor management program will assist the agency in undertaking a coordinated approach to the engagement and use of contractors for outsourcing and provision of information technology services and functions.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12148
02.3.1.|02. Information Security Services within Government|Using Cloud Services|Agencies understand and manage their cloud services to ensure they are secure, effective and efficient. |https://www.nzism.gcsb.govt.nz/ism-document#Section-12164
02.3.25.C.01.|02. Information Security Services within Government|Using Cloud Services - Cloud Adoption Strategy|Cloud technologies require a different mindset for the delivery of ICT services, as compared to traditional agency-owned IT servers. Increasingly, ICT will be available only in as-a-service  delivery models, which may lead to agencies adopting cloud services in an ad-hoc manner unless an overarching strategy is developed and put in place. |https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12197
02.3.25.C.02.|02. Information Security Services within Government|Using Cloud Services - Cloud Adoption Strategy|Cloud technologies require a different mindset for the delivery of ICT services, as compared to traditional agency-owned IT servers. Increasingly, ICT will be available only in as-a-service  delivery models, which may lead to agencies adopting cloud services in an ad-hoc manner unless an overarching strategy is developed and put in place. |https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12197
02.3.26.C.01.|02. Information Security Services within Government|Using Cloud Services - Zero Trust|Zero Trust is becoming the de-facto approach to ICT system security and is recommended by GCSB as the approach agencies should take, particularly as part of the adoption of cloud services.  Zero Trust is a set of principles and outcomes, not an architecture or a solution.  You cannot buy  Zero Trust.Zero Trust is compatible with other ICT outcomes, such as improved access to information, increased agility and better security.Key aspects of Zero Trust focus on: Visibility (through telemetry) and analytics of how services are functioning  this comes through as focus on monitoring, event gathering and machine learning based analysis; and Automation of service delivery and security actions.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12197
02.3.26.C.02.|02. Information Security Services within Government|Using Cloud Services - Zero Trust|Zero Trust is becoming the de-facto approach to ICT system security and is recommended by GCSB as the approach agencies should take, particularly as part of the adoption of cloud services.Zero Trust is a set of principles and outcomes, not an architecture or a solution.  You cannot buy  Zero Trust.Zero Trust is compatible with other ICT outcomes, such as improved access to information, increased agility and better security.Key aspects of Zero Trust focus on:Visibility (through telemetry) and analytics of how services are functioning  this comes through as focus on monitoring, event gathering and machine learning based analysis; and Automation of service delivery and security actions.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12197
02.3.27.C.01.|02. Information Security Services within Government|Using Cloud Services - Risk Assessment|The adoption of cloud technologies will introduce a wide range of technology and information system risks in addition to the risks that already exist for agency systems. It is vital that these additional risks are identified and assessed in order to select appropriate controls and countermeasures. Trust boundaries must be defined to assist in determining effective controls and where these controls can best be applied. The geographic location of agency data should be identified as this may include offshore data centres.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12197
02.3.27.C.02.|02. Information Security Services within Government|Using Cloud Services - Risk Assessment|The adoption of cloud technologies will introduce a wide range of technology and information system risks in addition to the risks that already exist for agency systems. It is vital that these additional risks are identified and assessed in order to select appropriate controls and countermeasures. Trust boundaries must be defined to assist in determining effective controls and where these controls can best be applied. The geographic location of agency data should be identified as this may include offshore data centres.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12197
02.3.28.C.01.|02. Information Security Services within Government|Using Cloud Services - Security Architecture|The adoption of cloud technologies will introduce a wide range of technology and information system risks in addition to the risks that already exist for agency systems.&nbsp; It is vital that these additional risks are identified and assessed in order to select appropriate controls and countermeasures.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12197
02.3.29.C.01.|02. Information Security Services within Government|Using Cloud Services - Selection of Services|A number of cloud related service, contracts and other arrangements have been negotiated on behalf of the New Zealand Government with a number of cloud service providers. Agencies must consider these services before negotiating individual contracts or supply contract with cloud service providers.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12197
02.3.30.C.01.|02. Information Security Services within Government|Using Cloud Services - System Decommissioning and Contract Termination|It is important that agencies understand how and where their data is processed, managed, stored, backed up and archived within the cloud service provider s environment (systems architecture). &nbsp;This may result in multiple copies of agency data in several data centres, possibly also in several countries.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12197
02.4.1.|02. Information Security Services within Government|Preparation for Post-Quantum Cryptography|Agencies are prepared for the impacts that widespread availability of quantum computing will have on information security.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12224
02.4.13.C.01.|02. Information Security Services within Government|Preparation for Post-Quantum Cryptography - Post-Quantum Cryptography Preparation|International organisations are in the process of developing standards for post-quantum cryptographic algorithms. The standards will be reviewed and incorporated into the NZISM as they are published.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12243
02.4.13.C.02.|02. Information Security Services within Government|Preparation for Post-Quantum Cryptography - Post-Quantum Cryptography Preparation|International organisations are in the process of developing standards for post-quantum cryptographic algorithms. The standards will be reviewed and incorporated into the NZISM as they are published.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12243
02.4.13.C.03.|02. Information Security Services within Government|Preparation for Post-Quantum Cryptography - Post-Quantum Cryptography Preparation|International organisations are in the process of developing standards for post-quantum cryptographic algorithms. The standards will be reviewed and incorporated into the NZISM as they are published.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12243
02.4.13.C.04.|02. Information Security Services within Government|Preparation for Post-Quantum Cryptography - Post-Quantum Cryptography Preparation|International organisations are in the process of developing standards for post-quantum cryptographic algorithms. The standards will be reviewed and incorporated into the NZISM as they are published.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12243
02.4.13.C.05.|02. Information Security Services within Government|Preparation for Post-Quantum Cryptography - Post-Quantum Cryptography Preparation|International organisations are in the process of developing standards for post-quantum cryptographic algorithms. The standards will be reviewed and incorporated into the NZISM as they are published.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12243
02.4.13.C.06.|02. Information Security Services within Government|Preparation for Post-Quantum Cryptography - Post-Quantum Cryptography Preparation|International organisations are in the process of developing standards for post-quantum cryptographic algorithms. The standards will be reviewed and incorporated into the NZISM as they are published.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12243
02.4.13.C.07.|02. Information Security Services within Government|Preparation for Post-Quantum Cryptography - Post-Quantum Cryptography Preparation|International organisations are in the process of developing standards for post-quantum cryptographic algorithms. The standards will be reviewed and incorporated into the NZISM as they are published.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12243
03.1.1.|03. Information security governance - roles and responsibilities|The Agency Head|The agency head is accountable for information security within their agency.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12256
03.1.8.C.01.|03. Information security governance - roles and responsibilities|The Agency Head - Delegation of authority|Where an agency head chooses to delegate their authority as the Agency s Accreditation Authority they should do so with careful consideration of all the associated risks, as they remain responsible for the decisions made by their delegate.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12269
03.1.8.C.02.|03. Information security governance - roles and responsibilities|The Agency Head - Delegation of authority|Where an agency head chooses to delegate their authority as the Agency s Accreditation Authority they should do so with careful consideration of all the associated risks, as they remain responsible for the decisions made by their delegate.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12269
03.1.8.C.03.|03. Information security governance - roles and responsibilities|The Agency Head - Delegation of authority|Where an agency head chooses to delegate their authority as the Agency s Accreditation Authority they should do so with careful consideration of all the associated risks, as they remain responsible for the decisions made by their delegate.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12269
03.1.9.C.01.|03. Information security governance - roles and responsibilities|The Agency Head - Support for information security|Without the full support of the agency head, security personnel are less likely to have access to sufficient resources and authority to successfully implement information security within their agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12269
03.2.1.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer|The Chief Information Security Officer (CISO) sets the strategic direction for information security within their agency.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12280
03.2.8.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Requirement for a CISO|The role of the CISO is based on industry and governance good practice, and relevant international standards, and has been introduced to ensure that information security is managed at the senior executive level within agencies.  Without a CISO there is a risk that an agency may not be resourced to effectively manage information security.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.8.C.02.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Requirement for a CISO|The role of the CISO is based on industry and governance good practice, and relevant international standards, and has been introduced to ensure that information security is managed at the senior executive level within agencies.  Without a CISO there is a risk that an agency may not be resourced to effectively manage information security.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.8.C.03.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Requirement for a CISO|The role of the CISO is based on industry and governance good practice, and relevant international standards, and has been introduced to ensure that information security is managed at the senior executive level within agencies.  Without a CISO there is a risk that an agency may not be resourced to effectively manage information security.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.8.C.04.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Requirement for a CISO|The role of the CISO is based on industry and governance good practice, and relevant international standards, and has been introduced to ensure that information security is managed at the senior executive level within agencies.  Without a CISO there is a risk that an agency may not be resourced to effectively manage information security.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.8.C.05.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Requirement for a CISO|The role of the CISO is based on industry and governance good practice, and relevant international standards, and has been introduced to ensure that information security is managed at the senior executive level within agencies.  Without a CISO there is a risk that an agency may not be resourced to effectively manage information security.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.9.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Reporting|As the CISO is responsible for the overall management of information security within an agency it is important that they report directly to the agency head on any information security issues.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.10.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Security programs|Without a comprehensive strategic level information security and security risk management program an agency will lack high-level direction on information security issues and may expose the agency to unnecessary risk.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.10.C.02.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Security programs|Without a comprehensive strategic level information security and security risk management program an agency will lack high-level direction on information security issues and may expose the agency to unnecessary risk.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.10.C.03.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Security programs|Without a comprehensive strategic level information security and security risk management program an agency will lack high-level direction on information security issues and may expose the agency to unnecessary risk.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.10.C.04.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Security programs|Without a comprehensive strategic level information security and security risk management program an agency will lack high-level direction on information security issues and may expose the agency to unnecessary risk.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.11.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Ensuring compliance|Without having a person responsible for ensuring compliance with the information security policies and standards within the agency, security measures of the agency are unlikely to meet minimum government requirements and may expose the agency to unnecessary risk.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.11.C.02.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Ensuring compliance|Without having a person responsible for ensuring compliance with the information security policies and standards within the agency, security measures of the agency are unlikely to meet minimum government requirements and may expose the agency to unnecessary risk.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.11.C.03.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Ensuring compliance|Without having a person responsible for ensuring compliance with the information security policies and standards within the agency, security measures of the agency are unlikely to meet minimum government requirements and may expose the agency to unnecessary risk.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.12.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Coordinating security|One of the core roles of the CISO is to ensure appropriate communication between business and information security teams within their agency. This includes interpreting information security concepts and language into business concepts and language as well as ensuring that business teams consult with information security teams to determine appropriate security measures when planning new business projects for the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.12.C.02.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Coordinating security|One of the core roles of the CISO is to ensure appropriate communication between business and information security teams within their agency. This includes interpreting information security concepts and language into business concepts and language as well as ensuring that business teams consult with information security teams to determine appropriate security measures when planning new business projects for the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.12.C.03.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Coordinating security|One of the core roles of the CISO is to ensure appropriate communication between business and information security teams within their agency. This includes interpreting information security concepts and language into business concepts and language as well as ensuring that business teams consult with information security teams to determine appropriate security measures when planning new business projects for the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.13.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Working with ICT projects|As the CISO is responsible for the development of the strategic level information security program within an agency they are best placed to advise ICT projects on the strategic direction of information security within the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.13.C.02.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Working with ICT projects|As the CISO is responsible for the development of the strategic level information security program within an agency they are best placed to advise ICT projects on the strategic direction of information security within the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.14.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Working with vendors|Having the CISO coordinate the use of external information security resources will ensure that a consistent approach is being applied across the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.15.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Budgeting|Controlling the information security budget will ensure that the CISO has sufficient access to funding to support information security projects and initiatives.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.16.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Information security incidents|To ensure that the CISO is able to accurately report to the Agency Head on information security issues within their agency, it is important that they remain fully aware of all information security incidents within their agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.17.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Disaster recovery|Restoring business-critical services to an operational state after a disaster is an important function of business continuity. As such it will need high level support from the CISO.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.18.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Training|To ensure personnel within an agency are actively contributing to the information security posture of the agency, an information security awareness and training program will need to be developed. As the CISO is responsible for information security within the agency they will need to oversee the development and operation of the program.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.2.19.C.01.|03. Information security governance - roles and responsibilities|The Chief Information Security Officer - Responsibilities  Providing security knowledge|The CISO is not expected to be a technical expert on all information security matters; however, knowledge of national and international standards and good practice will assist in communicating with technical experts within their agency on information security matters|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12293
03.3.1.|03. Information security governance - roles and responsibilities|Information Technology Security Managers|Information Technology Security Managers (ITSM) provide information security leadership and management within their agency.|https://www.nzism.gcsb.govt.nz/ism-document#Section-12348
03.3.4.C.01.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Requirement for ITSMs|When agencies outsource their ICT services, ITSMs should be independent of any company providing ICT services. This will prevent any conflict of interest for an ITSM in conducting their duties.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.4.C.02.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Requirement for ITSMs|When agencies outsource their ICT services, ITSMs should be independent of any company providing ICT services. This will prevent any conflict of interest for an ITSM in conducting their duties.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.4.C.03.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Requirement for ITSMs|When agencies outsource their ICT services, ITSMs should be independent of any company providing ICT services. This will prevent any conflict of interest for an ITSM in conducting their duties.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.4.C.04.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Requirement for ITSMs|When agencies outsource their ICT services, ITSMs should be independent of any company providing ICT services. This will prevent any conflict of interest for an ITSM in conducting their duties.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.4.C.05.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Requirement for ITSMs|When agencies outsource their ICT services, ITSMs should be independent of any company providing ICT services. This will prevent any conflict of interest for an ITSM in conducting their duties.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.5.C.01.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Security programs|As ITSMs undertake operational management of information security within an agency they can provide valuable input to the development of the information security program by the CISO.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.5.C.02.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Security programs|As ITSMs undertake operational management of information security within an agency they can provide valuable input to the development of the information security program by the CISO.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.6.C.01.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Working with ICT projects|As ITSMs have knowledge of all aspects of information security they are best placed to work with ICT projects within the agency to identify and incorporate appropriate information security measures.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.6.C.02.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Working with ICT projects|As ITSMs have knowledge of all aspects of information security they are best placed to work with ICT projects within the agency to identify and incorporate appropriate information security measures.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.6.C.03.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Working with ICT projects|As ITSMs have knowledge of all aspects of information security they are best placed to work with ICT projects within the agency to identify and incorporate appropriate information security measures.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.6.C.04.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Working with ICT projects|As ITSMs have knowledge of all aspects of information security they are best placed to work with ICT projects within the agency to identify and incorporate appropriate information security measures.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.6.C.05.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Working with ICT projects|As ITSMs have knowledge of all aspects of information security they are best placed to work with ICT projects within the agency to identify and incorporate appropriate information security measures.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.6.C.06.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Working with ICT projects|As ITSMs have knowledge of all aspects of information security they are best placed to work with ICT projects within the agency to identify and incorporate appropriate information security measures.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.7.C.01.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Working with vendors|The CISO will coordinate the use of external information security resources to the agency, whilst ITSMs will be responsible for establishing contracts and service-level agreements on behalf of the CISO.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.8.C.01.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Implementing security|The CISO will set the strategic direction for information security within the agency, whereas ITSMs are responsible for managing the implementation of information security measures within the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.8.C.02.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Implementing security|The CISO will set the strategic direction for information security within the agency, whereas ITSMs are responsible for managing the implementation of information security measures within the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.8.C.03.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Implementing security|The CISO will set the strategic direction for information security within the agency, whereas ITSMs are responsible for managing the implementation of information security measures within the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.8.C.04.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Implementing security|The CISO will set the strategic direction for information security within the agency, whereas ITSMs are responsible for managing the implementation of information security measures within the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.8.C.05.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Implementing security|The CISO will set the strategic direction for information security within the agency, whereas ITSMs are responsible for managing the implementation of information security measures within the agency.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.9.C.01.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Budgeting|As ITSMs are responsible for the operational management of information security projects and functions within their agency, they will be aware of their funding requirements and can assist the CISO to develop information security budget projections and resource allocations.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
03.3.10.C.01.|03. Information security governance - roles and responsibilities|Information Technology Security Managers - Responsibilities  Reporting|To ensure the CISO remains aware of all information security issues within their agency, and can brief their agency head when necessary, ITSMs will need to provide regular reports on policy developments, proposed system changes and enhancements, information security incidents and other areas of particular concern to the CISO.|https://www.nzism.gcsb.govt.nz/ism-document/#SubSection-12356
